,Unnamed: 0,Rating,Review_Date,Review,Release_Date,Review_clean,Sentiment
10,10,6.0,"Jun 8, 2023","Transformers: Rise of the Beasts offers an exciting blend of action, nostalgia, and new characters that will engage both longtime fans and newcomers to the franchise. Directed by Steven Caple Jr. And set in the 1990s, the film introduces a fresh narrative revolving around the Maximals, Predacons, and the Autobots, which adds a unique twist to the beloved Transformer saga.

The visual effects are undoubtedly a highlight, with impressive CGI that brings the massive robots to life in spectacular battles. The action sequences are exhilarating, featuring dynamic choreography and breathtaking visuals that keep you on the edge of your seat. The vibrant settings, from urban landscapes to lush jungles, also contribute to the film's overall aesthetic appeal.

While the action and visuals shine, the plot feels somewhat formulaic. The story follows familiar patterns seen in previous Transformers films, and at times it lacks the depth and nuance needed to elevate it beyond a straightforward sci-fi action flick. Some character development falls by the wayside, leading to a few underwhelming performances.

That said, the chemistry between the human characters provides some heartfelt moments, and the humor scattered throughout the film adds levity to the intense action. The voice performances of the Transformers themselves, particularly those of the new characters, breathe life into the story and provide a sense of personality that fans will appreciate.

Transformers: Rise of the Beasts is an entertaining rollercoaster that delivers what fans have come to expect - thrilling action and spectacular visuals. While it may not rewrite the rulebook for the franchise, it's a fun addition that continues to build the expansive Transformers universe. Perfect for a summer blockbuster, it's a movie worth seeing for fans looking to enjoy light-hearted escapism.","June 9, 2023 (United States)",transformers rise of the beasts offers an exciting blend of action nostalgia and new characters that will engage both longtime fans and newcomers to the franchise directed by steven caple jr and set in the s the film introduces a fresh narrative revolving around the maximals predacons and the autobots which adds a unique twist to the beloved transformer saga the visual effects are undoubtedly a highlight with impressive cgi that brings the massive robots to life in spectacular battles the action sequences are exhilarating featuring dynamic choreography and breathtaking visuals that keep you on the edge of your seat the vibrant settings from urban landscapes to lush jungles also contribute to the films overall aesthetic appeal while the action and visuals shine the plot feels somewhat formulaic the story follows familiar patterns seen in previous transformers films and at times it lacks the depth and nuance needed to elevate it beyond a straightforward scifi action flick some character development falls by the wayside leading to a few underwhelming performances that said the chemistry between the human characters provides some heartfelt moments and the humor scattered throughout the film adds levity to the intense action the voice performances of the transformers themselves particularly those of the new characters breathe life into the story and provide a sense of personality that fans will appreciate transformers rise of the beasts is an entertaining rollercoaster that delivers what fans have come to expect thrilling action and spectacular visuals while it may not rewrite the rulebook for the franchise its a fun addition that continues to build the expansive transformers universe perfect for a summer blockbuster its a movie worth seeing for fans looking to enjoy lighthearted escapism,POSITIVE
11,11,7.0,"Jun 9, 2023","After the last Transformers movie, I really didn't think these movies could get any dumber, or that they would release even more of these, but I guess I underestimated the allure of another cash grab.

This movie has all the hallmarks of the nowaday Transformer movie: worn out clichés, a horrendous script that might as well have been written by teenagers with zero character development, lazy attempts at humour, tired clichés, the fake patriotism, and explosions explosions explosions.

To top it off the creators have decided to broaden the market appeal by suddenly cast non-white actors and play what they seem to think is cool music. Sadly, I guess it could work but man, how lazy.

I guess it might work for teenage boys filled with testosterone, can't really se who else this is marketed to.","June 9, 2023 (United States)",after the last transformers movie i really didnt think these movies could get any dumber or that they would release even more of these but i guess i underestimated the allure of another cash grab this movie has all the hallmarks of the nowaday transformer movie worn out clichés a horrendous script that might as well have been written by teenagers with zero character development lazy attempts at humour tired clichés the fake patriotism and explosions explosions explosions to top it off the creators have decided to broaden the market appeal by suddenly cast nonwhite actors and play what they seem to think is cool music sadly i guess it could work but man how lazy i guess it might work for teenage boys filled with testosterone cant really se who else this is marketed to,NEGATIVE
12,12,6.0,"Jul 16, 2023","Transformers Age of Extinction and The Last Knight have drag the the franchise to the ground... but Bumblebee movie makes a new turn giving some hope to the franchise and this move...Rise of the Beasts followed by Bumblebee gets the job done and put the transformers franchise back into the right track...

The movie is not a masterpiece.....its not bad either...movie has a great flow starting to the end without making any brake points.... and there are no scenes where you can experience jumps from the main story like it was in Bayverse movies.... Movie has refreshed music with the all time classic Transformers Theme.... CGI was good...they have definitely done a great job....though they were not impressive like in the Bayverse...they could definitely improve transformations a little in some scenes but overall it is good.

I recommend watching this movie as this could be a game changing start for Transformers franchise.

""At last, there is hope after all..."" - Drift.","June 9, 2023 (United States)",transformers age of extinction and the last knight have drag the the franchise to the ground but bumblebee movie makes a new turn giving some hope to the franchise and this moverise of the beasts followed by bumblebee gets the job done and put the transformers franchise back into the right track the movie is not a masterpieceits not bad eithermovie has a great flow starting to the end without making any brake points and there are no scenes where you can experience jumps from the main story like it was in bayverse movies movie has refreshed music with the all time classic transformers theme cgi was goodthey have definitely done a great jobthough they were not impressive like in the bayversethey could definitely improve transformations a little in some scenes but overall it is good i recommend watching this movie as this could be a game changing start for transformers franchise at last there is hope after all drift,POSITIVE
13,13,6.0,"Jun 9, 2023","Good lord, after watching this film my IQ has been lowered by 10%... Starting out with the mish mash of 90's hip hop tunes that don't really work in the film, and then later the film forgets about the hip-hop and reverts to standard orchestral music.

The white male boss who doesn't want to give the Latino a job. And then Mirage the autobot mercilessly killing white cops in the car chase.

Then the Spanish transformer, and the Latino character is like ""Wow your spanish"" and the Spanish transformer replies ""That's racist..."" like omg... what is wrong with these writers?

And the two human hero's go into a tomb and they say: ""This is some indiana jones stuff"" and it just reads like the writers thought ""Lets have an indiana jones style section"" and then they comment on their own ideas in the script. So 4th wall breaking, but NOT in a good way.

At this point, I think a large section of Hollywood is just a rich club of nepo-babies without a single shred of talent, who are totally obsessed with shoving modern politics into everything. Like seriously, get some original ideas, and get a life. ( and I'm saying that as a Left Wing guy - but what do these issues have to do with Transformers??? )

No thank you. Skip the film for sure.","June 9, 2023 (United States)",good lord after watching this film my iq has been lowered by starting out with the mish mash of s hip hop tunes that dont really work in the film and then later the film forgets about the hiphop and reverts to standard orchestral music the white male boss who doesnt want to give the latino a job and then mirage the autobot mercilessly killing white cops in the car chase then the spanish transformer and the latino character is like wow your spanish and the spanish transformer replies thats racist like omg what is wrong with these writers and the two human heros go into a tomb and they say this is some indiana jones stuff and it just reads like the writers thought lets have an indiana jones style section and then they comment on their own ideas in the script so th wall breaking but not in a good way at this point i think a large section of hollywood is just a rich club of nepobabies without a single shred of talent who are totally obsessed with shoving modern politics into everything like seriously get some original ideas and get a life and im saying that as a left wing guy but what do these issues have to do with transformers no thank you skip the film for sure,NEGATIVE
14,14,6.0,"Jul 22, 2024","Transformers rise of the beasts took everything that worked with Bumblebee . Anthony Ramos and Dominique fishback did a great performance and pete Davinson as mirage stole the show , but the true star is without a doubt the adsolute best soundtrack of the 90' . I am happy to say that transformers is a lot of fun , the cgi looks pretty good . When I first watched this film a lot of people were clapping and they laughed a lot . In conclusion , this new transformers movie is the beginning of something much bigger ! Cant wait to see what paramount pictures has in store for us. . this movie deserves a 9.5/10.","June 9, 2023 (United States)",transformers rise of the beasts took everything that worked with bumblebee anthony ramos and dominique fishback did a great performance and pete davinson as mirage stole the show but the true star is without a doubt the adsolute best soundtrack of the i am happy to say that transformers is a lot of fun the cgi looks pretty good when i first watched this film a lot of people were clapping and they laughed a lot in conclusion this new transformers movie is the beginning of something much bigger cant wait to see what paramount pictures has in store for us this movie deserves a,POSITIVE
15,15,1.0,"Jul 6, 2023","A film similar to the previous ones with some improvements, but fundamental is nothing really interesting. The story recalls other products, good visual effects and CGI, but this is not enough to save a film that follows the previous ones.

This is a brand that has now given everything, maybe it's time they put it to rest. A film you see once is enough, it's not a memorable film. To be watched without too many pretensions, it is not a bad film but it is not a good film. I liked Bubblebee the previous film before this one, this one much less. The premises are there to be a good product but they need to work more on the screenplay.","June 9, 2023 (United States)",a film similar to the previous ones with some improvements but fundamental is nothing really interesting the story recalls other products good visual effects and cgi but this is not enough to save a film that follows the previous ones this is a brand that has now given everything maybe its time they put it to rest a film you see once is enough its not a memorable film to be watched without too many pretensions it is not a bad film but it is not a good film i liked bubblebee the previous film before this one this one much less the premises are there to be a good product but they need to work more on the screenplay,NEGATIVE
16,16,7.0,"Jun 10, 2023","Honestly the last couple acts saved this movie. It went from a -1 to at least a 6. The classic Optimus/Peter Cullen came to fruition later in the film. I started feeling like a young kid again hearing Peter cullens trash talk and all was forgiven. Dare I say the film finished better than most transformer films to date.

The beasts: primal and crew, was awesome. One scene when he and Optimus prime teamed up, classic.

Dominique/Elena was good. She added a lot to the film.

Anthony/Noah was ok but his whole family background wasn't needed. The poor boy blah blah blah was tiresome and I found myself bored in the beginning.

Lastly, Pete. He's funny and all I get it. But with bumblebee getting a serious back seat, I wasn't happy.

But as I started this rant, the last hour or so was awesome. And it was a nice treat at the end, that definitely left me with anticipation for the future.","June 9, 2023 (United States)",honestly the last couple acts saved this movie it went from a to at least a the classic optimuspeter cullen came to fruition later in the film i started feeling like a young kid again hearing peter cullens trash talk and all was forgiven dare i say the film finished better than most transformer films to date the beasts primal and crew was awesome one scene when he and optimus prime teamed up classic dominiqueelena was good she added a lot to the film anthonynoah was ok but his whole family background wasnt needed the poor boy blah blah blah was tiresome and i found myself bored in the beginning lastly pete hes funny and all i get it but with bumblebee getting a serious back seat i wasnt happy but as i started this rant the last hour or so was awesome and it was a nice treat at the end that definitely left me with anticipation for the future,POSITIVE
17,17,2.0,"Jul 27, 2023","""Rise of the beasts"" but doesn't feel like a beasts was rising. 5 years of waiting a new Transformers film after Bumblebee (2018), I was expecting some Optimus Prime solo film or maybe some decent Transformers film but what we got is some mixed up faction betwen Autobots, Maximals and Terrorcons.

The problem with this film is that they introduce some of new characters but they force it into 1 hours film which is a mistake, this film should've been a 2 hours because there were new characters that we've never seen before in live action and they need some backstory about this new charactes. They only focus with the backstory about the humans which is boring because they got more screentime than the Maximals and i feel dissappointed with Rhinox and Cheetor, they have less screentime.

The transformation of robots in this film was kinda boring. In the bayverse the transformation of the Transformers feels like a slow but fast and smooth and we can see clearly how do they transform into robots. In this film the transformation was kinda fast and the CGI was kinda greyish so it's very hard to see what they transform into.

And oh god what have they done with Wheeljack. Wheeljack is such a useless character in this film. This film can work without Wheeljack. They change his design, his voice, his personality and worstly he doesn't even do anything in this film beside chasing Battletrap with Arcee.

Unicron? They should just make a movie about Autobots fighting The Decepticons because they really have a balls of steel to use Unicron in the first film Transformers in the reboot universe. I mean come on man this was a second film in the reboot universe and they just straight introduce us to Unicron. They should just do with Unicron later because this universe need more fresh story. It feels like a DCEU film when we got to introduce with Superman and then he fight Batman in the next film and then in the next film they introduce Darkseid.

The only things i like about this film is the soundtrack. Steve Jablonsky is back and he use his original Transformers 2007 theme in this film and i was surprise at the end of the film and Optimus Prime did his final speech after 6 years the last time he did his final speech in Transformers The Last Knight.

(Sorry for the bad English because I live in Asia)","June 9, 2023 (United States)",rise of the beasts but doesnt feel like a beasts was rising years of waiting a new transformers film after bumblebee i was expecting some optimus prime solo film or maybe some decent transformers film but what we got is some mixed up faction betwen autobots maximals and terrorcons the problem with this film is that they introduce some of new characters but they force it into hours film which is a mistake this film shouldve been a hours because there were new characters that weve never seen before in live action and they need some backstory about this new charactes they only focus with the backstory about the humans which is boring because they got more screentime than the maximals and i feel dissappointed with rhinox and cheetor they have less screentime the transformation of robots in this film was kinda boring in the bayverse the transformation of the transformers feels like a slow but fast and smooth and we can see clearly how do they transform into robots in this film the transformation was kinda fast and the cgi was kinda greyish so its very hard to see what they transform into and oh god what have they done with wheeljack wheeljack is such a useless character in this film this film can work without wheeljack they change his design his voice his personality and worstly he doesnt even do anything in this film beside chasing battletrap with arcee unicron they should just make a movie about autobots fighting the decepticons because they really have a balls of steel to use unicron in the first film transformers in the reboot universe i mean come on man this was a second film in the reboot universe and they just straight introduce us to unicron they should just do with unicron later because this universe need more fresh story it feels like a dceu film when we got to introduce with superman and then he fight batman in the next film and then in the next film they introduce darkseid the only things i like about this film is the soundtrack steve jablonsky is back and he use his original transformers theme in this film and i was surprise at the end of the film and optimus prime did his final speech after years the last time he did his final speech in transformers the last knight sorry for the bad english because i live in asia,NEGATIVE
18,18,10.0,"Jun 6, 2023","Solid 7/10 here, and far better than the last few offerings, although admittedly I lasted exactly 12 minutes in ""The Last Knight"" before turning it off.

Rise of the beasts is pretty thin on story but there's just enough to hold interest and having the Gen 1 designs make a comeback is a nice addition, despite my lack of nostalgia for them.

I honestly don't know what to say beyond that, perfectly serviceable action movie with giant robots. Would have been nice to see a bit more of Unicron and a bit more development / depth to Scourge but hey, I grew up watching Transformers: Beast Wars and this delivers on that, all your favourites from the series, in one big brawl for the planet. 7/10.","June 9, 2023 (United States)",solid here and far better than the last few offerings although admittedly i lasted exactly minutes in the last knight before turning it off rise of the beasts is pretty thin on story but theres just enough to hold interest and having the gen designs make a comeback is a nice addition despite my lack of nostalgia for them i honestly dont know what to say beyond that perfectly serviceable action movie with giant robots would have been nice to see a bit more of unicron and a bit more development depth to scourge but hey i grew up watching transformers beast wars and this delivers on that all your favourites from the series in one big brawl for the planet,POSITIVE
19,19,7.0,"Jun 7, 2023","The formula that made Transformers 1, 2 and perhaps 3 memorable great, true classics; you won't find that here. No amazingly designed, super impressive robots like those sandstorm robots, no megan fox-style shots, not the coolest cars, and optimus ain't the super hero warrior knight.

But, if you can ignore the first hour of mandatory 2023-era propaganda, it gets better over time. The action is still good, kids still loved it, and overall the film ended with me thinking ""ok, all in all it's not bad, I just got to see through the many weird and illogical things that just happened, sit back and enjoy the ride"". And that works. Can't wait to see the next installment.","June 9, 2023 (United States)",the formula that made transformers and perhaps memorable great true classics you wont find that here no amazingly designed super impressive robots like those sandstorm robots no megan foxstyle shots not the coolest cars and optimus aint the super hero warrior knight but if you can ignore the first hour of mandatory era propaganda it gets better over time the action is still good kids still loved it and overall the film ended with me thinking ok all in all its not bad i just got to see through the many weird and illogical things that just happened sit back and enjoy the ride and that works cant wait to see the next installment,POSITIVE
